from,to
P1,4
P1,1
P2,2
P2,6
P3,11
P3,16
P4,27
P4,33
P5,43
P5,47
P6,50
P6,53
P7,52
P7,48
P8,39
P8,34
P9,17
P9,12
1,5
1,4
5,2
5,9
2,6
6,3
6,10
3,7
7,11
4,8
12,17
12,8
8,13
13,9
13,18
9,14
14,19
14,10
10,15
15,20
15,11
11,16
16,21
22,28
22,17
17,23
23,29
23,18
18,24
24,30
24,19
19,25
25,31
25,20
20,26
26,32
26,21
21,27
27,33
33,38
28,34
34,39
34,29
29,35
35,40
35,30
30,36
36,41
36,31
31,37
37,42
37,32
32,38
38,43
39,44
44,48
44,40
40,45
45,49
45,41
41,46
46,50
46,42
42,47
47,51
43,47
48,52
52,49
49,53
53,50
50,54
54,51
